artist_name,track_name,track_id,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
John Legend,Conversations in the Dark,6TYlDTa9AQDvjqwbxlvFyI,76,0.372,0.355,-8.436,0.03,0.754,0,0.142,126.705
Tyga,FREAK,0HIj0uo7zaFIpkzUIkDlmL,0,0.933,0.556,-6.115,0.216,0.00438,0,0.504,106.01
Lady Gaga,Your Song,4dvr69ZSydfqnsSvyc33dv,0,0.344,0.481,-7.069,0.0316,0.324,0,0.218,128.663
Arcangel,Al Filo De La Alegría - Cantiñas / En Directo,1tpaKLRR2QUn7WLfT1LtFz,0,0.655,0.741,-8.599,0.269,0.567,5.96E-05,0.931,83.013
Arcangel,Como Tu Me Tocas,7zeR2pRar0MtmUd5hiAkLo,0,0.865,0.749,-7.131,0.064,0.0557,0.00226,0.401,102.016
Moneybagg Yo,All Dat (with Megan Thee Stallion),2eukAOMjUM4pxnOdIsUia9,72,0.792,0.772,-3.904,0.27,0.00534,0,0.414,120.047
Megan Thee Stallion,Stop Playing (feat. Gunna),6hv5exKssaEbXMexDrC45M,62,0.848,0.591,-5.273,0.062,0.379,0,0.264,112.96
Tame Impala,One More Year,5ozqshq2dtU7SYCpCBu0NE,75,0.602,0.88,-5.414,0.0354,0.057,0.46,0.493,114.009
Russ,GUESS WHAT (feat. Rick Ross),40FUPlp2KJvdHY5ABnK100,74,0.738,0.785,-10.035,0.272,0.0711,1.59E-05,0.357,92.008
Eminem,Premonition - Intro,7ccTcabbJlCJiIqtrSSwBk,76,0.847,0.637,-5.193,0.367,0.0258,0.000648,0.511,165.979
Russell Dickerson,Love You Like I Used To,1D7cfiC5mxqHfTCcOiRBej,71,0.501,0.788,-4.624,0.0415,0.12,0,0.61,152.047
Lil Peep,shiver,3wv7UJioPys5AWFnaNFf2J,62,0.546,0.529,-9.555,0.0813,0.00161,0.259,0.0918,142.486
Tame Impala,Posthumous Forgiveness,1KcOU0q9AMXV9xi4tSzzCc,74,0.367,0.613,-5.646,0.0297,0.0508,0.00171,0.0966,153.978
Jeremy Zucker,"always, i'll care",1LdS1ULS9e18oW3M2C1MUj,78,0.784,0.278,-10.745,0.041,0.918,0.000196,0.741,105.034
Megan Thee Stallion,What I Need,3eD4GBuUVbXrMUa9qIG4BN,60,0.733,0.667,-4.655,0.0436,0.0209,5.39E-05,0.569,87.529
Lil Peep,come around,7jCDN5v2UatH95VrzUzZer,61,0.293,0.341,-13.115,0.0362,0.0267,0.000859,0.0387,104.174
Megan Thee Stallion,Crying In The Car,3OxwuE0500Qzobf7uykMzy,61,0.778,0.562,-4.949,0.0552,0.232,0,0.57,101.958
Tame Impala,Is It True,6RZmhpvukfyeSURhf4kZ0d,74,0.731,0.664,-5.474,0.0302,0.00307,0.35,0.661,118.018
